page,rows,elapsed_ms
1380,1000,2.330
1381,1000,3.228
1382,1000,3.481
1383,1000,2.958
1384,1000,2.555
1385,1000,2.394
1386,1000,2.281
1387,1000,2.477
1388,1000,2.294
1389,1000,2.876
1390,1000,2.487
1391,1000,2.471
1392,1000,2.487
1393,1000,2.369
1394,1000,2.458
1395,1000,2.676
1396,1000,2.351
1397,1000,2.298
1398,1000,2.344
1399,1000,2.447
1400,1000,3.775
1401,1000,3.566
1402,1000,3.286
1403,1000,2.994
1404,1000,3.491
1405,1000,3.861
1406,1000,2.398
1407,1000,3.885
1408,1000,2.419
1409,1000,2.441
1410,1000,2.354
1411,1000,3.669
1412,1000,2.447
1413,1000,3.476
1414,1000,2.416
1415,1000,3.632
1416,1000,2.318
1417,1000,2.917
1418,1000,2.523
1419,1000,2.499
1420,1000,2.324
1421,1000,2.854
1422,1000,2.528
1423,1000,2.191
1424,1000,2.360
1425,1000,2.492
1426,1000,2.312
1427,1000,3.053
1428,1000,3.175
1429,1000,2.304
1430,1000,2.418
1431,1000,4.071
1432,1000,2.385
1433,1000,2.293
1434,1000,2.243
1435,1000,2.302
1436,1000,2.248
1437,1000,2.132
1438,1000,2.160
1439,1000,2.295
1440,1000,2.224
1441,1000,2.268
1442,1000,2.283
1443,1000,2.171
1444,1000,2.194
1445,1000,2.295
1446,1000,2.266
1447,1000,2.137
1448,1000,2.155
1449,1000,2.342
1450,1000,3.054
1451,1000,2.252
1452,1000,2.337
1453,1000,2.224
1454,1000,2.178
1455,1000,2.171
1456,1000,3.109
1457,1000,2.509
1458,1000,2.382
1459,1000,2.500
1460,1000,2.263
1461,1000,2.585
1462,1000,2.496
1463,1000,2.353
1464,1000,2.444
1465,1000,2.208
1466,1000,2.325
1467,1000,2.381
1468,1000,2.530
1469,1000,2.236
1470,1000,2.418
1471,1000,2.320
1472,1000,3.307
1473,1000,2.921
1474,1000,3.643
1475,1000,2.339
1476,1000,2.424
1477,1000,3.771
1478,1000,3.179
1479,1000,3.874
